16,2952,3119,6071;16,1703,1765,3468
17,8186,5365,13551;17,3275,2842,6117
18,18845,14934,33780;18,3188,2574,5762
19,17374,17315,34689;19,2295,2040,4335
20,16747,13852,30599;20,1942,1931,3873
21,13958,14035,27993;21,1716,1615,3331
22,18211,17222,35432;22,1782,1723,3505
23,14189,14143,28332;23,1628,1653,3281
24,16388,13538,29926;24,1602,1600,3202
25,13575,8555,22130;25,1742,1779,3521
26,17131,9722,26854;26,1656,1899,3555
27,12548,11539,24087;27,1764,2234,3998
28,13632,13616,27249;28,2198,2672,4870
29,12476,15532,28008;29,1935,2467,4402
30,21272,15300,36572;30,2749,3402,6151
31,19406,14853,34259;31,2476,3266,5742
32,18075,13652,31727;32,2773,3686,6459
33,24255,16825,41080;33,2723,3770,6493
34,29030,16517,45547;34,3257,4059,7316
35,30240,20570,50811;35,3880,4807,8687
36,24530,18399,42929;36,3625,4570,8195
37,31361,22990,54351;37,4609,5645,10254
38,32537,20089,52626;38,4780,5958,10738
39,37746,21552,59297;39,4985,5970,10955
40,55391,29379,84771;40,5833,7666,13499
41,34981,19425,54406;41,4791,5690,10481
42,46033,20642,66674;42,5962,7112,13074
43,53440,20589,74028;43,6288,7132,13420
44,42152,21717,63869;44,6386,7399,13785
45,22592,18227,40819;45,7030,8440,15470
46,20206,16505,36711;46,7002,8562,15564
47,28703,18274,46976;47,7048,8520,15568
48,40442,17480,57922;48,7638,8647,16285
49,35455,17185,52640;49,7693,8640,16333
50,30889,21311,52200;50,9402,10739,20141
51,27786,16258,44044;51,7545,8048,15593
52,29302,18993,48295;52,8774,9288,18062
53,28958,18499,47457;53,8463,8782,17245
54,28027,18080,46107;54,9031,9430,18461
55,29017,17255,46272;55,8995,9211,18206
56,23785,17061,40846;56,8907,8974,17881
57,20769,19795,40564;57,8520,8574,17094
58,29293,17230,46523;58,9241,8807,18048
59,25857,16481,42338;59,9099,8465,17564
60,23330,15204,38533;60,9710,9984,19694
61,20944,14716,35660;61,9310,8624,17934
62,25911,14646,40557;62,9532,8357,17889
63,17194,9424,26618;63,7726,6521,14247
64,17043,9444,26487;64,7914,6657,14571
65,13026,9764,22790;65,9405,8000,17405
66,14024,7135,21160;66,7626,6304,13930
67,12700,10179,22878;67,7352,6288,13640
68,8655,6859,15514;68,7068,5923,12991
69,10555,5604,16159;69,6601,5186,11787
70,9896,4682,14578;70,6963,5670,12633
71,7264,3801,11065;71,5742,4497,10239
72,6324,3864,10188;72,5903,4576,10479
73,6590,4041,10631;73,5653,4373,10026
74,6564,2704,9268;74,5352,3882,9234
75,7914,3451,11366;75,5418,4159,9577
76,5671,3077,8748;76,4680,3652,8332
77,5742,2566,8308;77,4351,3584,7935
78,4519,1858,6376;78,4344,3121,7465
79,3528,1841,5369;79,3494,2716,6210
80,3527,1769,5295;80,3547,2794,6341
81,3574,1167,4741;81,2962,2230,5192
82,1894,1445,3340;82,2565,2152,4717
83,2752,1434,4186;83,2256,1790,4046
84,1526,916,2442;84,2010,1501,3511
85,1577,574,2151;85,1655,1282,2937
86,1120,541,1661;86,1157,944,2101
87,1079,581,1660;87,920,748,1668
;
16 – 87;
